46,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,171,High-Performer,12,281,1005418,281,281,3578,3578,83784
69,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,171,High-Performer,12,49,166600,49,49,3400,3400,13883
278,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,147,High-Performer,11,129,99201,129,129,769,769,9018
169,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,2014-01-28,146,Low-Performer,13,3189,6378,3189,2948,2,2,490
89,Road-250 Black- 44,Bikes,Road Bikes,1555,2013-12-27,147,High-Performer,24,271,628384,271,266,2318,2318,26182
3,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,146,High-Performer,13,2230,78050,2230,2147,35,35,6003
252,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,2013-12-27,147,High-Performer,11,158,376672,158,158,2384,2384,34242
295,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,147,High-Performer,12,386,208440,386,386,540,540,17370
172,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,2014-01-28,146,Mid-Range,12,327,39240,327,324,120,120,3270
66,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,159,High-Performer,23,89,66915,89,89,751,751,2909
229,HL Road Tire,Accessories,Tires and Tubes,12,2014-01-28,146,Mid-Range,13,858,28314,858,820,33,33,2178
275,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,2013-12-23,147,Mid-Range,11,48,35616,48,48,742,742,3237
272,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,2013-12-25,147,High-Performer,12,232,394632,232,232,1701,1701,32886
86,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,159,High-Performer,12,162,395766,162,162,2443,2443,32980
63,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,159,Mid-Range,24,65,49047,65,65,754,754,2043
255,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,2013-12-27,147,Mid-Range,11,57,42294,57,57,742,742,3844
49,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,171,High-Performer,12,295,1055510,295,295,3578,3578,87959
261,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,2013-12-26,147,Mid-Range,11,50,37100,50,50,742,742,3372
92,Road-250 Black- 58,Bikes,Road Bikes,1555,2013-12-26,147,High-Performer,24,270,622026,270,265,2303,2303,25917
161,Classic Vest- M,Clothing,Vests,24,2014-01-27,146,Mid-Range,12,199,12736,199,199,64,64,1061
284,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,147,Mid-Range,11,48,27120,48,48,565,565,2465
175,All-Purpose Bike Stand,Accessories,Bike Stands,59,2014-01-28,146,Mid-Range,13,249,39591,249,243,159,159,3045
75,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,147,High-Performer,23,596,1339394,596,583,2247,2247,58234
9,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,146,Mid-Range,12,429,21450,429,426,50,50,1787
95,Road-550-W Yellow- 42,Bikes,Road Bikes,713,2013-12-26,147,High-Performer,24,306,334440,306,303,1092,1092,13935
72,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,171,High-Performer,11,45,151875,45,45,3375,3375,13806
264,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,2013-12-27,147,High-Performer,11,160,381440,160,160,2384,2384,34676
258,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,2013-12-27,147,Mid-Range,11,59,43778,59,59,742,742,3979
281,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,147,Mid-Range,11,45,25425,45,45,565,565,2311
78,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,147,High-Performer,24,581,1292559,581,564,2224,2224,53856
218,Road Tire Tube,Accessories,Tires and Tubes,1,2014-01-28,146,Low-Performer,13,2375,9500,2375,2225,4,4,730
178,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,2014-01-27,146,Mid-Range,13,407,21978,407,404,54,54,1690
